Year,Fips,Area,AgeGroup,Tot,TotM,TotF,AngT,AngM,AngF,BlkT,BlkM,BlkF,HispT,HispM,HispF,OthT,OthM,OthF
1990,0,TEXAS,  00,294083,150264,143819,145391,74827,70564,40116,20317,19799,102643,51999,50644,5933,3121,2812
1990,0,TEXAS,  01,282890,144746,138144,142036,72995,69041,38342,19394,18948,96415,49267,47148,6097,3090,3007
1990,0,TEXAS,  02,281069,143995,137074,141800,72902,68898,37779,19198,18581,95597,48936,46661,5893,2959,2934
1990,0,TEXAS,  03,278389,142478,135911,141889,72757,69132,36869,18573,18296,93953,48259,45694,5678,2889,2789
1990,0,TEXAS,  04,283667,145045,138622,145714,74755,70959,37073,18706,18367,95082,48677,46405,5798,2907,2891
1990,0,TEXAS,  05,279607,142394,137213,144463,73867,70596,36599,18564,18035,92619,46922,45697,5926,3041,2885
1990,0,TEXAS,  06,275849,140960,134889,142477,73155,69322,35647,18044,17603,91790,46693,45097,5935,3068,2867
1990,0,TEXAS,  07,282444,144532,137912,145890,75068,70822,36653,18599,18054,93823,47755,46068,6078,3110,2968
1990,0,TEXAS,  08,267213,136803,130410,137692,70661,67031,34692,17550,17142,89043,45594,43449,5786,2998,2788
1990,0,TEXAS,  09,285939,146323,139616,146980,75599,71381,38011,19296,18715,94779,48278,46501,6169,3150,3019
1990,0,TEXAS,  10,277845,142285,135560,142879,73554,69325,37512,18994,18518,91399,46644,44755,6055,3093,2962
1990,0,TEXAS,  11,258645,132431,126214,132961,68279,64682,34927,17658,17269,85077,43609,41468,5680,2885,2795
1990,0,TEXAS,  12,254205,129961,124244,130770,67171,63599,33955,17177,16778,83916,42762,41154,5564,2851,2713
1990,0,TEXAS,  13,250312,127901,122411,128225,65976,62249,32838,16604,16234,83618,42409,41209,5631,2912,2719
1990,0,TEXAS,  14,248591,127330,121261,126069,64771,61298,32737,16654,16083,84066,42945,41121,5719,2960,2759
1990,0,TEXAS,  15,251136,128559,122577,127050,65070,61980,32960,16753,16207,85381,43763,41618,5745,2973,2772
1990,0,TEXAS,  16,247700,127009,120691,125186,64050,61136,33212,16902,16310,83661,43091,40570,5641,2966,2675
1990,0,TEXAS,  17,257885,132774,125111,130627,66950,63677,34918,17763,17155,86411,44998,41413,5929,3063,2866
1990,0,TEXAS,  18,266209,137000,129209,139752,71715,68037,36126,18613,17513,84363,43561,40802,5968,3111,2857
1990,0,TEXAS,  19,292951,149528,143423,158545,80557,77988,38638,19343,19295,88979,45965,43014,6789,3663,3126
1990,0,TEXAS,  20,280060,142371,137689,152846,77291,75555,35778,17631,18147,84927,43905,41022,6509,3544,2965
1990,0,TEXAS,  21,265901,135593,130308,143066,72421,70645,34034,16918,17116,82177,42711,39466,6624,3543,3081
1990,0,TEXAS,00-04,1420098,726528,693570,716830,368236,348594,190179,96188,93991,483690,247138,236552,29399,14966,14433
1990,0,TEXAS,05-09,1391052,711012,680040,717502,368350,349152,181602,92053,89549,462054,235242,226812,29894,15367,14527
1990,0,TEXAS,10-14,1289598,659908,629690,660904,339751,321153,171969,87087,84882,428076,218369,209707,28649,14701,13948
1990,0,TEXAS,15-19,1315881,674870,641011,681160,348342,332818,175854,89374,86480,428795,221378,207417,30072,15776,14296
1990,0,TEXAS,20-24,1342403,683892,658511,723759,365232,358527,173037,85282,87755,413308,216096,197212,32299,17282,15017
