"","Month_1","Month_2","Month_3","Month_4","Month_5","Month_6","Month_7","Month_8","Month_9","Month_10","Month_11","Month_12","cohort","Total","ms_0","ms_1","ms_2","ms_3","ms_4","ms_5","ms_6","ms_7","ms_8","ms_9","ms_10","ms_11","ms_12","Percent_Left_in_Month_1","Percent_Left_in_Month_2","Percent_Left_in_Month_3","Percent_Left_in_Month_4","Percent_Left_in_Month_5","Percent_Left_in_Month_6","Percent_Left_in_Month_7","Percent_Left_in_Month_8","Percent_Left_in_Month_9","Percent_Left_in_Month_10","Percent_Left_in_Month_11","Percent_Left_in_Month_12","Percent_Remain_in_Month_1","Percent_Remain_in_Month_2","Percent_Remain_in_Month_3","Percent_Remain_in_Month_4","Percent_Remain_in_Month_5","Percent_Remain_in_Month_6","Percent_Remain_in_Month_7","Percent_Remain_in_Month_8","Percent_Remain_in_Month_9","Percent_Remain_in_Month_10","Percent_Remain_in_Month_11","Percent_Remain_in_Month_12","fl"
"2",134,163,115,148,142,159,141,108,98,103,86,1347,"Jan17",2744,2744,2610,2447,2332,2184,2042,1883,1742,1634,1536,1433,1347,0,4.88,5.94,4.19,5.39,5.17,5.79,5.14,3.94,3.57,3.75,3.13,49.09,100,95.12,89.18,84.99,79.59,74.42,68.62,63.48,59.55,55.98,52.22,49.09,1
"21",133,117,166,172,147,194,110,108,74,69,87,1458,"Feb17",2835,2835,2702,2585,2419,2247,2100,1906,1796,1688,1614,1545,1458,0,4.69,4.13,5.86,6.07,5.19,6.84,3.88,3.81,2.61,2.43,3.07,51.43,100,95.31,91.18,85.33,79.26,74.07,67.23,63.35,59.54,56.93,54.5,51.43,2
"22",131,171,204,204,185,188,132,121,90,92,78,1695,"March17",3291,3291,3160,2989,2785,2581,2396,2208,2076,1955,1865,1773,1695,0,3.98,5.2,6.2,6.2,5.62,5.71,4.01,3.68,2.73,2.8,2.37,51.5,100,96.02,90.82,84.62,78.43,72.8,67.09,63.08,59.4,56.67,53.87,51.5,3
"23",129,190,166,134,123,154,97,112,82,75,88,1461,"Apr17",2811,2811,2682,2492,2326,2192,2069,1915,1818,1706,1624,1549,1461,0,4.59,6.76,5.91,4.77,4.38,5.48,3.45,3.98,2.92,2.67,3.13,51.97,100,95.41,88.65,82.75,77.98,73.6,68.13,64.67,60.69,57.77,55.1,51.97,4
"24",159,168,172,145,121,152,98,110,71,82,60,1262,"May17",2600,2600,2441,2273,2101,1956,1835,1683,1585,1475,1404,1322,1262,0,6.12,6.46,6.62,5.58,4.65,5.85,3.77,4.23,2.73,3.15,2.31,48.54,100,93.88,87.42,80.81,75.23,70.58,64.73,60.96,56.73,54,50.85,48.54,5
"25",144,167,156,180,97,131,121,99,90,88,92,1481,"June17",2846,2846,2702,2535,2379,2199,2102,1971,1850,1751,1661,1573,1481,0,5.06,5.87,5.48,6.32,3.41,4.6,4.25,3.48,3.16,3.09,3.23,52.04,100,94.94,89.07,83.59,77.27,73.86,69.26,65,61.52,58.36,55.27,52.04,6
"26",173,154,151,136,129,143,102,92,82,78,109,1468,"July17",2817,2817,2644,2490,2339,2203,2074,1931,1829,1737,1655,1577,1468,0,6.14,5.47,5.36,4.83,4.58,5.08,3.62,3.27,2.91,2.77,3.87,52.11,100,93.86,88.39,83.03,78.2,73.62,68.55,64.93,61.66,58.75,55.98,52.11,7
"27",167,139,146,131,112,112,113,98,86,111,87,1432,"Aug17",2734,2734,2567,2428,2282,2151,2039,1927,1814,1716,1630,1519,1432,0,6.11,5.08,5.34,4.79,4.1,4.1,4.13,3.58,3.15,4.06,3.18,52.38,100,93.89,88.81,83.47,78.68,74.58,70.48,66.35,62.77,59.62,55.56,52.38,8
"28",122,120,108,127,106,121,76,78,65,90,68,1290,"Sep17",2371,2371,2249,2129,2021,1894,1788,1667,1591,1513,1448,1358,1290,0,5.15,5.06,4.56,5.36,4.47,5.1,3.21,3.29,2.74,3.8,2.87,54.41,100,94.85,89.79,85.24,79.88,75.41,70.31,67.1,63.81,61.07,57.28,54.41,9
"29",137,116,123,105,114,98,93,93,98,88,80,1272,"Oct17",2417,2417,2280,2164,2041,1936,1822,1724,1631,1538,1440,1352,1272,0,5.67,4.8,5.09,4.34,4.72,4.05,3.85,3.85,4.05,3.64,3.31,52.63,100,94.33,89.53,84.44,80.1,75.38,71.33,67.48,63.63,59.58,55.94,52.63,10
"210",99,107,106,94,105,99,97,85,73,76,71,1131,"Nov17",2143,2143,2044,1937,1831,1737,1632,1533,1436,1351,1278,1202,1131,0,4.62,4.99,4.95,4.39,4.9,4.62,4.53,3.97,3.41,3.55,3.31,52.78,100,95.38,90.39,85.44,81.05,76.15,71.54,67.01,63.04,59.64,56.09,52.78,11
"211",115,98,118,106,114,125,111,78,71,80,46,1210,"Dec17",2272,2272,2157,2059,1941,1835,1721,1596,1485,1407,1336,1256,1210,0,5.06,4.31,5.19,4.67,5.02,5.5,4.89,3.43,3.12,3.52,2.02,53.26,100,94.94,90.62,85.43,80.77,75.75,70.25,65.36,61.93,58.8,55.28,53.26,12
